lexicon,mi,lambda
0.2222222222222222,0.05132518818011805,0.0
0.1388888888888889,0.04112219299778669,0.05
0.1388888888888889,0.06655638366201455,0.1
0.1388888888888889,0.08961072491694408,0.15000000000000002
0.1388888888888889,0.15384143965509875,0.2
0.1111111111111111,0.15749590672075192,0.25
0.2222222222222222,0.30674969025387844,0.30000000000000004
0.3055555555555556,0.5672028969051444,0.35000000000000003
0.3611111111111111,0.6345529813078725,0.4
0.3888888888888889,0.660928901945961,0.45
0.6111111111111112,0.7656535385659797,0.5
0.75,0.8886891792103854,0.55
0.75,0.8698028227832876,0.6000000000000001
0.8611111111111112,0.8680454027282354,0.65
0.8611111111111112,0.9094800337817021,0.7000000000000001
0.8611111111111112,0.882956735354029,0.75
1.0,0.8320824819573335,0.8
1.0,0.8561283353412603,0.8500000000000001
1.0,0.8552286307762573,0.9
1.0,0.8359321989907627,0.9500000000000001
1.0,0.8441972088782592,1.0
0.16666666666666666,0.061821534984186854,0.0
0.2222222222222222,0.08486692783171129,0.05
0.1111111111111111,0.13204143222802303,0.1
0.1111111111111111,0.09697234336370003,0.15000000000000002
0.08333333333333333,0.09813366109220427,0.2
0.1388888888888889,0.13217326055186007,0.25
0.25,0.2781813087960778,0.30000000000000004
0.3055555555555556,0.5453203225978782,0.35000000000000003
0.3888888888888889,0.586858642453357,0.4
0.3888888888888889,0.5820440232119529,0.45
0.75,0.8356839555212793,0.5
0.8611111111111112,0.9234647120771278,0.55
0.8333333333333334,0.8817637215571962,0.6000000000000001
0.8611111111111112,0.9000238699855726,0.65
0.8333333333333334,0.9132843750446398,0.7000000000000001
0.8611111111111112,0.8760036317978811,0.75
0.9722222222222222,0.8734435090580217,0.8
1.0,0.8486888582790576,0.8500000000000001
1.0,0.8718245914377043,0.9
1.0,0.8723069785820073,0.9500000000000001
1.0,0.8807688416229125,1.0
0.19444444444444445,0.05352866829320557,0.0
0.1111111111111111,0.0743497648592854,0.05
0.1111111111111111,0.05624799364321234,0.1
0.08333333333333333,0.07861490544346927,0.15000000000000002
0.16666666666666666,0.17980584000070804,0.2
0.19444444444444445,0.18179918243929458,0.25
0.16666666666666666,0.2203909948959724,0.30000000000000004
0.3055555555555556,0.5580021968787647,0.35000000000000003
0.3333333333333333,0.5514073629656183,0.4
0.4722222222222222,0.6820217268293597,0.45
0.6944444444444444,0.8215897698965534,0.5
0.7777777777777778,0.8951983044145864,0.55
0.7777777777777778,0.8890811963828453,0.6000000000000001
0.8888888888888888,0.884248790416694,0.65
0.8888888888888888,0.8921675164786608,0.7000000000000001
1.0,0.8111688828826827,0.75
1.0,0.8840039901909481,0.8
1.0,0.8902174018794207,0.8500000000000001
1.0,0.9153244757021403,0.9
1.0,0.8581841882780986,0.9500000000000001
1.0,0.9010387074045341,1.0
0.1388888888888889,0.04215511010960882,0.0
0.19444444444444445,0.08905302668456322,0.05
0.1388888888888889,0.10847755985262195,0.1
0.16666666666666666,0.07848463615010848,0.15000000000000002
0.1111111111111111,0.14958940423496758,0.2
0.1388888888888889,0.30665689920758005,0.25
0.3055555555555556,0.5109752861319523,0.30000000000000004
0.3055555555555556,0.5532615612480004,0.35000000000000003
0.3888888888888889,0.6455269939747592,0.4
0.4722222222222222,0.6857034627721973,0.45
0.6666666666666666,0.7078167355233413,0.5
0.7777777777777778,0.8588009437582069,0.55
0.8055555555555556,0.8933854071204206,0.6000000000000001
0.8611111111111112,0.8662556365918315,0.65
0.8611111111111112,0.9000238699855726,0.7000000000000001
1.0,0.8236460144452646,0.75
0.8888888888888888,0.9231433153692313,0.8
1.0,0.8902174018794207,0.8500000000000001
1.0,0.8505123670843717,0.9
1.0,0.853718513993309,0.9500000000000001
1.0,0.9086874223076354,1.0
0.16666666666666666,0.06149042649879838,0.0
0.1388888888888889,0.06359063303201007,0.05
0.1111111111111111,0.061867060760417425,0.1
0.1388888888888889,0.08847385057764992,0.15000000000000002
0.08333333333333333,0.09501179307278904,0.2
0.1388888888888889,0.17407891829824576,0.25
0.16666666666666666,0.19261788068444513,0.30000000000000004
0.3888888888888889,0.5845771749197104,0.35000000000000003
0.3055555555555556,0.616981706656809,0.4
0.4722222222222222,0.6837293592299908,0.45
0.6666666666666666,0.810422352517662,0.5
0.8611111111111112,0.8876378101561092,0.55
0.8333333333333334,0.8940029291716866,0.6000000000000001
0.9166666666666666,0.8823110945416437,0.65
0.8888888888888888,0.9006345902027836,0.7000000000000001
0.8611111111111112,0.9196222074803092,0.75
0.9166666666666666,0.8864539638556784,0.8
1.0,0.8989315416739488,0.8500000000000001
1.0,0.8635354194792667,0.9
1.0,0.9042834890640696,0.9500000000000001
1.0,0.8643758736315816,1.0
0.16666666666666666,0.06880142725645849,0.0
0.1388888888888889,0.05555672522462357,0.05
0.1388888888888889,0.07952616889659458,0.1
0.1111111111111111,0.1106527929404186,0.15000000000000002
0.1388888888888889,0.11901210339056212,0.2
0.19444444444444445,0.17219484018054035,0.25
0.16666666666666666,0.24328276815586064,0.30000000000000004
0.2777777777777778,0.5497282382478592,0.35000000000000003
0.4444444444444444,0.6495610751530819,0.4
0.5277777777777778,0.7129900437730938,0.45
0.6111111111111112,0.7947300915229126,0.5
0.8888888888888888,0.9096951901664361,0.55
0.8611111111111112,0.9000238699855725,0.6000000000000001
0.9166666666666666,0.904195935926664,0.65
0.8055555555555556,0.9135464978360119,0.7000000000000001
0.8611111111111112,0.9462704434396471,0.75
1.0,0.8148882823523396,0.8
1.0,0.8746848760112831,0.8500000000000001
1.0,0.8696674253330446,0.9
1.0,0.8871106960351844,0.9500000000000001
1.0,0.8854475221154685,1.0
0.1388888888888889,0.04760035139852342,0.0
0.1111111111111111,0.08465331362530898,0.05
0.08333333333333333,0.09880265642231281,0.1
0.08333333333333333,0.08456922080623872,0.15000000000000002
0.1388888888888889,0.13766208037369526,0.2
0.16666666666666666,0.11106606434400233,0.25
0.2222222222222222,0.2079119797570527,0.30000000000000004
0.3055555555555556,0.5722724396970655,0.35000000000000003
0.3055555555555556,0.5710099094429818,0.4
0.3611111111111111,0.5820670239822893,0.45
0.7222222222222222,0.8264731743966474,0.5
0.8055555555555556,0.8806812296238457,0.55
0.8888888888888888,0.8921675164786609,0.6000000000000001
0.8055555555555556,0.903104038012152,0.65
0.8611111111111112,0.9132240126196278,0.7000000000000001
0.9166666666666666,0.9293186392809093,0.75
1.0,0.8662723227891083,0.8
1.0,0.8970316086788086,0.8500000000000001
1.0,0.8365298902136851,0.9
1.0,0.8359893445651329,0.9500000000000001
1.0,0.8807688416229125,1.0
0.19444444444444445,0.045567591037709854,0.0
0.1388888888888889,0.05023407636654981,0.05
0.08333333333333333,0.10056215265343069,0.1
0.08333333333333333,0.1000940051503536,0.15000000000000002
0.1111111111111111,0.11975404342479799,0.2
0.1111111111111111,0.1533431355761411,0.25
0.25,0.2700914768403958,0.30000000000000004
0.3611111111111111,0.5979276608571644,0.35000000000000003
0.3888888888888889,0.5678958614193934,0.4
0.3888888888888889,0.6420587540871997,0.45
0.6111111111111112,0.8245727046101144,0.5
0.8333333333333334,0.873745954229397,0.55
0.8055555555555556,0.8933854071204205,0.6000000000000001
0.9166666666666666,0.8784933019151002,0.65
0.9166666666666666,0.8966410690658485,0.7000000000000001
0.8055555555555556,0.903104038012152,0.75
0.9722222222222222,0.8854475221154685,0.8
1.0,0.8938573657510018,0.8500000000000001
1.0,0.8585352666444173,0.9
1.0,0.8662723227891083,0.9500000000000001
1.0,0.8850931969314326,1.0
0.16666666666666666,0.027877010925674905,0.0
0.16666666666666666,0.05906704835756227,0.05
0.16666666666666666,0.10488586492771979,0.1
0.1388888888888889,0.09745083882225292,0.15000000000000002
0.2222222222222222,0.1613508730919,0.2
0.19444444444444445,0.19552613084738968,0.25
0.2777777777777778,0.5166665807708994,0.30000000000000004
0.2777777777777778,0.5322005428463121,0.35000000000000003
0.3888888888888889,0.6709460212823886,0.4
0.4722222222222222,0.6757433417638646,0.45
0.6666666666666666,0.8226533085386641,0.5
0.7777777777777778,0.8710099094429818,0.55
0.8333333333333334,0.870269402451323,0.6000000000000001
0.75,0.882743363947176,0.65
0.8888888888888888,0.9133455695334136,0.7000000000000001
0.9722222222222222,0.8676919574606212,0.75
1.0,0.8424081058994605,0.8
1.0,0.8970316086788085,0.8500000000000001
1.0,0.8590145824623986,0.9
1.0,0.8698894392361465,0.9500000000000001
1.0,0.843072890022169,1.0
0.1388888888888889,0.05490960362609304,0.0
0.1388888888888889,0.04794726802295307,0.05
0.1111111111111111,0.07026521637229147,0.1
0.1388888888888889,0.09253497956182882,0.15000000000000002
0.1111111111111111,0.11828116280960721,0.2
0.19444444444444445,0.22290290039185695,0.25
0.16666666666666666,0.187996555968648,0.30000000000000004
0.3611111111111111,0.5996525982370257,0.35000000000000003
0.4166666666666667,0.6968029438464578,0.4
0.3888888888888889,0.6541376228430872,0.45
0.6944444444444444,0.8323246287195277,0.5
0.75,0.8886891792103854,0.55
0.8055555555555556,0.9135464978360119,0.6000000000000001
0.8888888888888888,0.8702004585890611,0.65
0.8055555555555556,0.903104038012152,0.7000000000000001
0.8611111111111112,0.9462704434396471,0.75
0.9444444444444444,0.9195054588483709,0.8
1.0,0.8917960079710817,0.8500000000000001
1.0,0.8667733162003989,0.9
1.0,0.8938573657510018,0.9500000000000001
1.0,0.8871106960351844,1.0
